name_new,name_old,home_wins_new,home_wins_old,away_wins_new,away_wins_old,home_draws_new,home_draws_old,away_draws_new,away_draws_old,home_loss_new,home_loss_old,away_loss_new,away_loss_old,team_old,team_new,league,new_manager_type,old_manager_type,start_date_new,start_date_old,wins_new,wins_old,draws_new,draws_old,loss_new,loss_old,first_bounce_effect,first_bounce_cause,match_location,year,bounce_effect,bounce_value
Joaquín Caparrós,Pablo Machín,0,0,1,0,0,0,0,0,0,0,0,1,Sevilla,Sevilla,LALIGA,PERMANENT,PERMANENT,2019-03-17,2019-03-02,1,0,0,0,0,1,WIN,LOSS,AWAY,2019,True,Bounce
Jorge Sampaoli,Lopetegui,0,0,0,0,1,0,0,1,0,0,0,0,Sevilla,Sevilla,LALIGA,PERMANENT,PERMANENT,2022-10-08,2022-09-18,0,0,1,1,0,0,DRAW,DRAW,HOME,2022,False,No-Bounce
Mendilibar,Jorge Sampaoli,0,1,1,0,0,0,0,0,0,0,0,0,Sevilla,Sevilla,LALIGA,PERMANENT,PERMANENT,2023-04-01,2023-03-12,1,1,0,0,0,0,WIN,WIN,AWAY,2023,False,No-Bounce
Igor Tudor,Eusebio Di Francesco,1,0,0,0,0,0,0,0,0,1,0,0,Hellas Verona,Hellas Verona,SERIE_A,PERMANENT,INTERIM,2021-09-19,2021-08-27,1,0,0,0,0,1,WIN,LOSS,HOME,2021,True,Bounce
Salvatore Bocchetti,Gabriele Cioffi,0,0,0,0,0,0,0,0,1,1,0,0,Hellas Verona,Hellas Verona,SERIE_A,PERMANENT,PERMANENT,2022-10-16,2022-10-03,0,0,0,0,1,1,LOSS,LOSS,HOME,2022,False,No-Bounce
Marco Zaffaroni,Salvatore Bocchetti,0,0,0,0,0,0,1,0,0,1,0,0,Hellas Verona,Hellas Verona,SERIE_A,PERMANENT,PERMANENT,2023-01-04,2022-11-10,0,0,1,0,0,1,DRAW,LOSS,AWAY,2023,True,Bounce
Thierry Henry,Leonardo Jardim,0,0,0,0,0,0,0,0,0,0,1,1,Monaco,Monaco,LIGUE_1,PERMANENT,PERMANENT,2018-10-20,2018-09-28,0,0,0,0,1,1,LOSS,LOSS,AWAY,2018,False,No-Bounce
Leonardo Jardim,Thierry Henry,0,0,0,0,0,1,0,0,0,0,1,0,Monaco,Monaco,LIGUE_1,PERMANENT,PERMANENT,2019-01-26,2019-01-16,0,0,0,1,1,0,LOSS,DRAW,AWAY,2019,False,No-Bounce
Robert Moreno,Leonardo Jardim,0,0,0,0,0,0,1,1,0,0,0,0,Monaco,Monaco,LIGUE_1,PERMANENT,PERMANENT,2020-01-12,2019-12-14,0,0,1,1,0,0,DRAW,DRAW,AWAY,2020,False,No-Bounce
Philippe Clement,Niko Kovač,0,0,0,0,0,0,1,0,0,0,0,1,Monaco,Monaco,LIGUE_1,PERMANENT,PERMANENT,2022-01-09,2021-12-12,0,0,1,0,0,1,DRAW,LOSS,AWAY,2022,True,Bounce
Leon Britton,Paul Clement,0,0,0,0,1,0,0,0,0,1,0,0,Swansea City,Swansea City,EPL,INTERIM,PERMANENT,2017-12-23,2017-12-13,0,0,1,0,0,1,DRAW,LOSS,HOME,2017,True,Bounce
Carlos Carvalhal,Leon Britton,0,0,1,0,0,1,0,0,0,0,0,0,Swansea City,Swansea City,EPL,PERMANENT,INTERIM,2017-12-30,2017-12-23,1,0,0,1,0,0,WIN,DRAW,AWAY,2017,True,Bounce
Albert Celades,Marcelino,0,0,0,0,0,0,0,0,0,0,1,1,Valencia,Valencia,LALIGA,PERMANENT,PERMANENT,2019-09-14,2019-08-24,0,0,0,0,1,1,LOSS,LOSS,AWAY,2019,False,No-Bounce
Voro,Albert Celades,0,0,0,0,0,0,0,0,1,0,0,1,Valencia,Valencia,LALIGA,PERMANENT,PERMANENT,2020-07-01,2020-06-25,0,0,0,0,1,1,LOSS,LOSS,HOME,2020,False,No-Bounce
Voro,Javi Gracia,1,0,0,0,0,1,0,0,0,0,0,0,Valencia,Valencia,LALIGA,INTERIM,PERMANENT,2021-05-09,2021-04-24,1,0,0,1,0,0,WIN,DRAW,HOME,2021,True,Bounce
Voro,Gennaro Gattuso,0,0,0,0,0,1,0,0,0,0,1,0,Valencia,Valencia,LALIGA,INTERIM,PERMANENT,2023-02-02,2023-01-23,0,0,0,1,1,0,LOSS,DRAW,AWAY,2023,False,No-Bounce
Rubén Baraja,Voro,0,0,0,0,0,0,0,0,0,0,1,1,Valencia,Valencia,LALIGA,PERMANENT,INTERIM,2023-02-20,2023-02-05,0,0,0,0,1,1,LOSS,LOSS,AWAY,2023,False,No-Bounce
Stefano Colantuono,Fabrizio Castori,0,1,0,0,0,0,0,0,1,0,0,0,Salernitana,Salernitana,SERIE_A,PERMANENT,PERMANENT,2021-10-23,2021-10-02,0,1,0,0,1,0,LOSS,WIN,HOME,2021,False,No-Bounce
Davide Nicola,Stefano Colantuono,0,0,0,0,1,1,0,0,0,0,0,0,Salernitana,Salernitana,SERIE_A,PERMANENT,PERMANENT,2022-02-19,2022-02-07,0,0,1,1,0,0,DRAW,DRAW,HOME,2022,False,No-Bounce
Paulo Sousa,Davide Nicola,0,0,0,0,0,0,0,0,1,1,0,0,Salernitana,Salernitana,SERIE_A,PERMANENT,PERMANENT,2023-02-19,2023-02-07,0,0,0,0,1,1,LOSS,LOSS,HOME,2023,False,No-Bounce
Thomas Tuchel,Frank Lampard,0,0,0,1,1,0,0,0,0,0,0,0,Chelsea,Chelsea,EPL,PERMANENT,PERMANENT,2021-01-27,2021-01-16,0,1,1,0,0,0,DRAW,WIN,HOME,2021,False,No-Bounce
Graham Potter,Thomas Tuchel,0,0,1,0,0,0,0,0,0,0,0,1,Chelsea,Chelsea,EPL,PERMANENT,PERMANENT,2022-10-01,2022-08-30,1,0,0,0,0,1,WIN,LOSS,AWAY,2022,True,Bounce
Bruno,Graham Potter,0,0,0,0,1,1,0,0,0,0,0,0,Chelsea,Chelsea,EPL,INTERIM,PERMANENT,2023-04-04,2023-03-18,0,0,1,1,0,0,DRAW,DRAW,HOME,2023,False,No-Bounce
Frank Lampard,Bruno,0,0,0,0,0,0,0,0,0,1,1,0,Chelsea,Chelsea,EPL,PERMANENT,INTERIM,2023-04-08,2023-04-01,0,0,0,0,1,1,LOSS,LOSS,AWAY,2023,False,No-Bounce
Massimo Oddo,Luigi Delneri,0,1,0,0,0,0,0,0,1,0,0,0,Udinese,Udinese,SERIE_A,PERMANENT,PERMANENT,2017-11-26,2017-10-29,0,1,0,0,1,0,LOSS,WIN,HOME,2017,False,No-Bounce
Igor Tudor,Massimo Oddo,0,0,0,0,0,0,1,0,0,0,0,1,Udinese,Udinese,SERIE_A,INTERIM,PERMANENT,2018-04-29,2018-04-18,0,0,1,0,0,1,DRAW,LOSS,AWAY,2018,True,Bounce
Davide  Nicola,Julio Velázquez,1,0,0,0,0,0,0,0,0,1,0,0,Udinese,Udinese,SERIE_A,INTERIM,PERMANENT,2018-11-24,2018-11-04,1,0,0,0,0,1,WIN,LOSS,HOME,2018,True,Bounce
Davide Nicola,Davide  Nicola,0,0,0,0,0,0,1,0,0,0,0,1,Udinese,Udinese,SERIE_A,INTERIM,INTERIM,2018-12-26,2018-12-15,0,0,1,0,0,1,DRAW,LOSS,AWAY,2018,True,Bounce
Davide  Nicola,Davide Nicola,0,0,0,0,1,0,0,0,0,1,0,0,Udinese,Udinese,SERIE_A,PERMANENT,INTERIM,2019-02-03,2019-01-19,0,0,1,0,0,1,DRAW,LOSS,HOME,2019,True,Bounce
Igor Tudor,Davide  Nicola,1,0,0,0,0,0,0,0,0,0,0,1,Udinese,Udinese,SERIE_A,PERMANENT,PERMANENT,2019-03-30,2019-03-08,1,0,0,0,0,1,WIN,LOSS,HOME,2019,True,Bounce
Luca Gotti,Igor Tudor,0,0,1,0,0,0,0,0,0,0,0,1,Udinese,Udinese,SERIE_A,PERMANENT,PERMANENT,2019-11-03,2019-10-27,1,0,0,0,0,1,WIN,LOSS,AWAY,2019,True,Bounce
Gabriele Cioffi,Luca Gotti,0,0,0,0,1,0,0,1,0,0,0,0,Udinese,Udinese,SERIE_A,PERMANENT,PERMANENT,2021-12-11,2021-12-02,0,0,1,1,0,0,DRAW,DRAW,HOME,2021,False,No-Bounce
